studNr;nameS;nameF
927497952;Dam;Iraj
933053913;Tielemans;Jiani
984859717;Kallan;Jerrel
985219487;Macatangay;Mellum
930431356;Levering;Robbert
999927144;Yalda;Jamal
964787997;Erdoğan;Daan
923577756;Uçar;Mark
949102863;Aït Ahmed;Yassine
992567986;Franzen;Serdar
915014615;Hoff,van den;Khalid
941206423;Kirca;Chantal
981340787;Kavsara;Irene
922984976;Haddad,El;Cengiz
984658204;Verlinden;Ornal
912505843;Wissen,van;Liliana
972965675;Paardekooper;Ralph
911688984;Eken;Dervis
941589597;Pal,van der;Silvano
970080699;Baltus;Tim
911492644;Zijverden,van;Wessel
989824090;Keulen;Gunnar
905859716;Chaudry;Ali
978279201;Bemer;Rudolf
985982550;Schilder;Tarik
987245101;Adhin;Richard
988775533;Kanmaz;Richard
944190809;Berg,van den;Zakaria
989744681;Korpel;Erencan
935603725;Bank;Ismail
953593999;Bakker;Johannes
934147029;Appelman;Haider
937523639;Lam,Yeung;David
946389909;Sinnige;Waleed
900046672;Kistemaker;Kevin
920880366;El-Bouchahati;Ho
917390232;Ouhabi,El;Irmo
994724308;Baitali;Xeno
905921044;Blokker;Tyler
906136823;Su;Sjef
985331706;Schroeff,van der;Nizar
965576124;Öksüz;Yoran
936326789;Silva Ferreira;Noam
923562877;Pinto;Chivarao
905423522;Chua;Ming
980682768;Mohammed,Ben;Wishvant
946809666;Rahimbaks;Bas
992271779;Waraich;Lars
980269249;Sussenbach;Menno
959635483;Klercq;Talha
915948162;Takyie;Jasper
950309639;Vulker;Jerry
947508044;Stellingwerff;Gürkan
